image_id,score2,score3,score4,score5,score6,score7,score8,score9,score10,score11
325916,1,16,28,50,59,28,16,5,1,0
127743,1,3,13,34,77,72,39,29,12,15
23186,21,33,45,68,49,12,2,0,0,0
17578,52,33,58,43,18,9,4,1,0,3
234168,2,3,12,36,75,51,22,13,4,2
137005,1,2,2,29,63,56,17,6,4,1
484057,2,1,5,34,67,30,8,3,0,2
531309,1,0,0,16,42,44,19,10,4,3
643057,0,0,8,20,61,46,36,11,5,2
709818,0,5,15,39,54,38,24,7,5,0
944754,0,4,15,28,45,51,18,14,10,6
815331,0,0,3,18,41,52,14,3,0,0
57701,0,4,22,73,78,51,21,4,1,1
460452,0,6,21,76,152,107,60,24,9,2
21138,2,4,20,29,53,45,18,8,3,1
323636,1,1,10,18,75,75,47,22,16,3
269834,3,4,12,26,50,72,41,46,22,16
490812,3,8,9,41,83,35,12,4,0,2
55086,0,2,12,27,49,61,55,21,7,7
277487,3,5,19,38,75,67,50,23,12,7
280645,0,1,15,49,125,136,59,26,15,7
669131,0,1,3,4,26,72,42,18,10,4
46112,1,5,23,47,82,57,26,9,2,5
388659,3,2,11,55,100,64,18,2,1,0
930363,0,3,4,12,62,43,16,5,2,1
440541,0,2,11,30,72,47,25,5,2,4
832982,1,1,2,6,57,65,37,19,7,4
949377,0,1,2,18,43,42,17,1,1,1
36154,8,9,18,48,40,14,7,2,0,3
316529,18,34,38,66,63,14,8,3,1,0
80401,0,0,1,9,25,48,59,22,14,16
638304,2,4,15,62,90,42,16,1,1,0
96356,0,0,5,34,63,98,54,27,16,9
882428,8,12,31,70,44,9,1,2,0,0
108306,6,17,43,63,65,44,19,16,6,6
872954,1,0,5,18,46,49,12,3,1,0
168173,2,1,16,34,90,52,30,10,5,1
407548,0,2,3,26,76,61,31,16,4,2
559792,0,0,3,14,65,49,24,14,5,1
305212,0,2,3,6,21,59,55,41,16,20
486266,0,3,14,41,85,42,22,11,2,2
23740,0,7,12,34,50,48,44,15,8,2
702083,10,19,30,53,38,14,6,2,1,1
34498,1,0,2,10,23,38,20,9,2,3
930772,0,3,11,26,62,46,15,3,2,1
682728,3,5,9,26,106,84,48,16,8,3
593161,2,2,1,22,44,34,9,3,2,0
258211,15,31,47,82,43,35,13,7,5,1
415664,1,5,12,20,66,82,45,18,3,2
