image_id,score2,score3,score4,score5,score6,score7,score8,score9,score10,score11
764476,22,31,57,76,48,7,4,1,2,0
891879,0,1,0,8,20,42,35,15,5,2
301303,6,13,29,43,107,76,37,17,2,1
939707,2,4,14,34,71,48,14,9,2,2
693117,0,1,3,11,35,58,21,10,2,4
356895,0,2,7,16,46,58,34,20,11,9
531462,2,5,2,23,38,38,21,11,6,4
121506,5,8,32,75,96,56,23,8,5,1
54992,0,3,14,36,66,65,31,20,3,10
71272,12,24,41,79,77,25,12,3,2,3
380947,1,12,23,73,90,32,15,3,1,1
807477,1,3,11,32,51,54,35,10,6,9
847728,1,5,5,21,61,83,50,17,5,3
534374,0,0,3,16,32,50,31,15,4,1
442223,0,0,4,7,30,88,54,28,20,10
916992,0,2,0,8,32,59,28,11,9,4
183428,11,32,54,90,59,24,12,3,6,6
110094,6,27,41,91,67,17,7,2,0,0
132082,1,2,2,12,50,99,85,61,31,11
170623,4,10,25,71,139,54,27,13,8,3
869034,3,3,31,68,80,11,2,1,1,0
29768,1,2,5,29,44,33,8,7,6,0
768271,1,4,10,50,62,31,17,4,3,1
419847,0,2,2,5,16,45,50,41,32,24
758642,5,13,29,63,48,13,2,4,1,0
382721,0,5,9,24,76,63,35,18,8,7
678800,0,0,2,9,50,47,32,6,5,2
313261,0,2,8,19,51,62,27,24,6,2
253021,1,5,15,57,113,74,41,13,4,1
78276,0,1,16,27,56,28,16,4,0,2
225008,2,4,2,13,67,81,42,12,9,4
141849,5,7,14,40,60,48,20,17,2,2
761296,0,6,13,27,51,46,29,13,4,2
327872,4,9,21,44,71,43,16,10,1,3
142104,0,4,11,28,87,94,35,11,5,5
848081,2,4,3,26,55,71,57,25,4,4
549213,15,27,28,62,36,12,1,1,1,0
354973,2,5,6,23,54,68,44,21,9,8
664497,1,1,6,30,57,36,8,3,2,3
625779,1,6,17,48,66,14,6,0,2,0
18226,0,6,11,22,44,57,50,34,14,8
282918,2,4,12,40,85,57,29,12,2,2
43076,18,29,34,58,50,23,12,5,0,1
43814,2,6,13,18,59,49,36,14,6,2
891756,1,3,6,23,53,69,38,20,10,1
927722,0,1,5,21,45,55,24,11,7,2
96505,0,0,1,7,29,29,38,38,27,21
842894,0,2,6,21,50,67,22,8,5,0
581404,7,9,22,75,58,21,2,2,0,0
505138,0,0,4,27,65,46,21,6,2,1
577286,8,11,17,61,60,19,2,1,1,1
453977,5,2,10,37,101,84,38,33,20,10
627618,0,2,5,18,54,81,47,20,5,5
755357,0,0,7,21,56,56,17,3,4,0
862450,2,3,2,10,36,64,50,37,15,3
485132,0,4,11,33,75,67,22,11,3,2
364931,0,0,4,10,24,57,52,34,23,18
204036,1,2,4,24,47,58,37,23,10,5
426447,0,0,2,5,44,59,45,18,2,4
928111,2,2,8,21,39,44,23,16,6,6
422984,1,9,23,58,57,14,2,1,1,1
702139,8,11,14,50,60,26,6,4,1,0
790765,1,4,1,16,25,49,35,37,19,23
731124,14,14,25,44,42,17,3,1,1,0
921994,0,2,0,22,49,26,7,1,1,1
64015,1,9,27,30,51,39,15,9,5,0
589392,0,2,2,6,33,58,49,22,6,5
591738,1,3,14,45,95,39,13,1,0,2
454318,3,1,8,24,65,91,68,46,28,11
801313,8,9,25,32,48,29,6,3,3,2
90600,5,9,36,57,105,51,26,8,2,2
344281,1,7,25,52,103,47,23,8,1,0
916051,1,2,4,11,41,52,46,15,9,5
278397,1,2,12,32,86,55,30,16,3,1
95586,5,10,32,61,73,43,24,6,5,3
460781,2,6,11,42,72,32,9,8,0,2
36832,0,3,1,6,21,36,37,27,15,5
536084,0,1,5,9,62,47,40,9,4,1
930692,0,3,8,37,65,46,18,6,0,2
85315,28,27,51,62,56,35,9,5,5,2
443792,0,0,3,25,63,79,30,16,4,5
787910,2,2,2,15,52,42,18,4,3,1
637932,1,0,5,17,47,51,16,8,3,2
19949,1,4,19,51,68,42,17,8,5,1
15653,2,13,27,30,65,29,15,8,0,0
313279,2,4,29,54,58,30,26,10,2,1
916034,3,3,6,17,35,32,24,4,5,2
734077,0,2,6,17,41,56,36,16,14,1
741993,0,2,3,9,37,49,36,23,7,7
