image_id,score2,score3,score4,score5,score6,score7,score8,score9,score10,score11
363448,0,2,9,18,62,64,31,19,6,1
443676,0,0,2,5,37,80,56,34,11,5
898230,1,0,1,12,33,32,24,7,3,1
13573,0,1,4,12,31,44,52,34,20,11
84063,2,5,18,55,62,67,30,11,12,2
471314,0,3,10,59,110,28,11,2,1,1
940267,1,3,5,20,62,41,17,5,2,1
357549,2,6,23,58,91,62,17,8,4,2
412364,3,5,16,28,79,57,23,15,4,1
287708,1,1,11,34,55,51,24,8,3,3
822096,0,1,2,8,48,52,49,25,12,5
6163,24,22,33,50,52,40,42,21,7,7
457453,1,2,13,66,79,34,17,7,2,1
496664,7,4,18,36,58,30,13,4,0,0
639499,1,5,6,50,67,12,5,0,0,0
928220,2,1,5,25,49,69,42,11,6,9
419066,1,2,10,38,86,70,23,6,3,1
251166,11,10,41,67,77,30,7,4,1,1
39151,3,9,26,39,52,45,15,21,8,3
8784,4,10,23,49,57,59,37,16,9,2
682131,0,1,2,17,67,61,16,11,1,0
179365,1,3,11,17,52,73,57,60,29,21
658309,0,1,4,10,47,69,48,36,11,4
855378,3,3,14,38,64,53,13,9,4,1
40364,6,17,23,54,49,37,31,5,2,8
749116,1,4,14,40,75,33,12,5,2,0
475711,0,2,0,16,63,57,27,4,0,2
677907,0,0,0,1,21,35,28,32,15,11
497050,1,1,3,8,42,65,42,18,3,5
874599,2,2,11,26,82,62,21,11,4,1
771575,6,13,47,94,181,91,26,7,3,4
150671,1,1,11,30,52,64,26,18,6,2
287977,1,1,4,8,53,76,25,10,6,5
532249,1,1,4,27,48,38,14,2,3,0
844936,3,2,10,19,51,63,59,36,20,18
132693,0,2,5,15,55,81,92,50,22,24
57612,0,1,5,6,33,43,42,24,7,7
73945,5,19,36,77,89,25,11,4,1,1
97306,0,1,4,23,43,54,70,46,41,17
226362,2,5,24,85,66,30,12,1,3,2
34261,1,3,8,33,38,18,5,3,0,0
271026,0,2,9,23,60,77,51,19,11,10
189015,0,0,5,25,80,85,49,13,11,3
191454,2,3,13,40,86,53,24,10,1,1
821387,25,32,34,52,30,7,5,3,0,1
