image_id,quality,cl1,cl2,cl3,cl4,cl5,cl6,cl7,cl8,cl9,cl10,cl11
farm4_3775_19506022313_af4f207525_b.jpg,0.4,0.2,0.4,0.2,-0.2,-0.2,0.2,-0.2,0.0,-0.2,0.0,-0.4
farm1_295_19948758379_2f0ccc89c2_b.jpg,0.7,0.4,0.8,0.0,0.0,0.2,0.0,0.4,0.0,0.0,0.4,0.0
farm1_275_20245510726_60d7364373_b.jpg,0.7,0.0,0.6,0.6,0.0,0.4,0.0,-0.2,0.0,0.0,0.0,0.6
farm1_383_19642680893_6b12ab97a5_b.jpg,0.6,0.4,0.0,0.2,0.2,-0.2,0.0,0.6,0.0,0.0,0.0,-0.2
farm1_549_20138566978_a1b0aec18a_b.jpg,0.45,-0.2,0.0,-0.6,0.4,-0.2,-0.2,0.6,0.0,0.0,0.0,-0.2
farm1_493_19541640954_d9e76a854e_b.jpg,0.4,-0.2,0.0,0.2,0.2,-0.2,0.2,0.4,0.0,-0.4,0.0,0.0
farm1_280_19573465553_081be18e72_b.jpg,0.4,-0.2,0.4,0.2,0.0,-0.4,0.0,-0.4,0.0,0.0,0.0,0.0
farm1_343_20179863551_1828acd915_b.jpg,0.6,0.6,0.6,0.4,0.2,0.4,0.0,0.4,0.0,0.2,0.0,0.4
farm1_295_19923868848_c8ddaaa2e4_b.jpg,0.3,0.2,0.0,-0.6,0.0,-0.4,0.0,-1.0,0.0,0.2,0.0,0.0
farm1_306_20166195602_776d7b1d19_b.jpg,0.4,-0.4,0.2,-0.6,0.0,0.2,0.0,0.4,0.0,0.0,0.0,0.0
farm1_329_20213941171_3b6e59bc84_b.jpg,0.3,-0.4,0.0,-0.2,0.0,0.0,0.0,0.6,0.0,-0.4,0.0,-0.6
farm1_355_20119547825_599a3873fd_b.jpg,0.35,0.0,0.2,0.2,0.0,-0.2,0.0,-0.6,0.0,0.0,0.0,-0.4
farm1_514_19579459794_e27bb5d221_b.jpg,0.85,0.0,0.6,0.8,0.0,0.4,0.0,0.8,0.2,0.4,0.2,0.6
farm4_3739_20267821945_b7014d86b8_b.jpg,0.2,-0.4,0.2,-0.4,-0.2,-0.6,-0.2,-0.6,0.0,0.0,0.0,-0.2
farm1_370_20079224741_d5ef7c1a5b_b.jpg,0.6,0.0,0.4,0.4,0.2,0.4,0.2,0.6,0.2,0.0,0.2,-0.6
farm1_476_20140856416_805c60695c_b.jpg,0.25,-0.4,-0.2,-0.2,-0.4,-0.4,0.0,-0.8,0.0,-0.4,0.0,0.0
farm1_269_20084792148_1f294137f6_b.jpg,0.775,0.1,0.2,0.7,0.8,0.2,0.0,0.6,0.0,0.1,0.0,-0.3
farm1_386_19895219019_6b46ed8a3c_b.jpg,0.55,0.2,0.0,0.6,-0.2,0.0,0.0,-0.2,0.0,-0.2,0.0,0.0
farm4_3761_19936832960_8377845059_b.jpg,0.6,0.2,0.6,0.6,0.8,0.4,0.0,0.6,0.4,0.0,0.0,0.0
farm1_260_19996888788_20cb5cfd07_b.jpg,0.65,0.0,0.6,0.4,0.0,0.4,0.0,0.0,0.0,0.2,0.0,0.6
farm1_301_20080192662_ce5523ea87_b.jpg,0.5,0.2,0.4,-0.2,0.0,0.2,0.0,-0.2,0.0,0.2,0.0,-0.2
farm1_370_20004346049_0f82c4fec2_b.jpg,0.062,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.2
farm1_505_20145650870_7707f1fd52_b.jpg,0.45,-0.2,0.4,0.8,-0.4,0.0,-0.8,-0.2,0.2,-0.2,0.0,0.0
farm1_452_19984964028_9b9406d457_b.jpg,0.4,-0.4,0.4,0.4,0.0,-0.4,0.0,0.2,0.0,0.0,0.0,0.0
farm1_388_20198741985_5ea5882207_b.jpg,0.55,-0.4,0.2,0.8,-0.2,0.0,0.0,1.0,0.2,0.4,0.0,0.0
farm1_302_20000558449_151ddcebef_b.jpg,0.6,0.0,0.0,0.2,0.0,0.2,0.0,-0.2,0.6,0.0,0.4,0.2
farm1_280_20277274692_a6e09a7125_b.jpg,0.25,0.0,-0.2,0.0,-0.2,0.0,0.0,-0.6,0.0,0.0,0.0,0.0
farm1_332_19917084449_e00771ecb8_b.jpg,0.5,-0.2,0.4,-0.4,0.0,0.2,0.0,-1.0,0.0,0.0,0.0,0.0
farm1_367_19486196613_6726e37baf_b.jpg,0.65,0.8,0.4,0.8,0.0,0.2,0.0,0.2,0.0,0.4,0.0,-0.2
